"name","alpha_2","alpha_3","country_code","iso_3166_2","is_independent","region_code","region_name","subregion_code","subregion_name","intermediate_region_code","intermediate_region_name","m49_code"
"AFGHANISTAN","Afghanistanthe Islamic Republic of Afghanistan","Yes[6]",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}
Afghānistān (ps)
Afghānistān (fa)","Under the unrecognized government of the Islamic Emirate of Afghanistan",FALSE,NA,NA,NA,NA,NA,NA,NA
"CHINA","China
the People's Republic of China","Yes[7]","Zhongguo (zh)","Disputed sovereignty with Taiwan",FALSE,NA,NA,NA,NA,NA,NA,NA
"CYPRUS","Cyprus
the Republic of Cyprus","Yes[8]","Kýpros (el)
Kıbrıs (tr)","Disputed sovereignty with Northern Cyprus",FALSE,NA,NA,NA,NA,NA,NA,NA
"FALKLAND ISLANDS  (MALVINAS)","Falkland Islands (the) [Malvinas][a]","No[9]","Falkland Islands  (the) [Malvinas] (en)","Disputed sovereignty and naming",FALSE,NA,NA,NA,NA,NA,NA,NA
"PALESTINE,  STATE OF","Palestine, State of
the State of Palestine","No[10]","Dawlat Filasţīn (ar)","Disputed sovereignty with Israel",FALSE,NA,NA,NA,NA,NA,NA,NA
"TAIWAN,  PROVINCE OF CHINA","Taiwan (Province of China)[a]","No[11]","Taiwan (zh)","Disputed sovereignty and naming[5]",FALSE,NA,NA,NA,NA,NA,NA,NA
"WESTERN SAHARA","Western Sahara[a]","No[12]","Aş Şaḩrā'  al Gharbīyah (ar)","Disputed sovereignty with Morocco",FALSE,NA,NA,NA,NA,NA,NA,NA
